author,title,description,content,date
Jillian Rayfield and Hiroko Masuike,"Ukraine, Syracuse University, Fred Rogers Your Tuesday Evening Briefing",Heres what you need to know at the end of the day.,"1. I couldnt believe what I was hearing. On the opening day of a packed week of impeachment testimony, two White House aides who were on the July 25 call between President Trump and Ukraines president challenged Mr. Trumps description of the conversation as 380 chars ",2019-11-19T23:11:01Z
Darrell Etherington,The first U.S. clinical trial of using an in brain chip to fight opioid addiction is now underway,"Opioid addiction is easily one of the top widespread healthcare issues facing the U.S., and research indicates were nowhere near achieving any kind of significant mitigating solution. But a team of medical researchers working at the West Virginia University ","Opioid addiction is easily one of the top widespread healthcare issues facing the U.S., and research indicates were nowhere near achieving any kind of significant mitigating solution. But a team of medical researchers working at the West Virginia University 1994 chars ",2019-11-05T16:29:46Z
Zack Whittaker,New 5G flaws can track phone locations and spoof emergency alerts,"5G is faster and more secure than 4G. But new research shows it also has vulnerabilities that could put phone users at risk. Security researchers at Purdue University and the University of Iowa have found close to a dozen vulnerabilities, which they say can b","5G is faster and more secure than 4G. But new research shows it also has vulnerabilities that could put phone users at risk. Security researchers at Purdue University and the University of Iowa have found close to a dozen vulnerabilities, which they say can 3311 chars ",2019-11-12T16:30:14Z
Brendan Hesse,How to Protect Your Smart Speaker From a Laser Attack,"I love a good scientific mysterystuff like quantum weirdness, dark matter and dark energy, strange gravitational behavior, or even why smart speakers respond to light waves as if they were sound. That last one was the topic of a recently published paper from","I love a good scientific mysterystuff like quantum weirdness, dark matter and dark energy, strange gravitational behavior, or even why smart speakers respond to light waves as if they were sound. That last one was the topic of a recently published paper from 3607 chars ",2019-11-05T22:00:00Z
Derrick Bryson Taylor,Missing Clark Atlanta University Student Is Found Dead,"Alexis Crawford was reported missing on Nov. 1, just days after she filed a sexual assault report against her roommates boyfriend, officials said.","Late on Nov. 1, Ms. Crawford was reported missing by her mother and two sisters, who all said they last communicated with her on Oct. 30. Ms. Jones was also interviewed by investigators. She was not on speaking terms with Ms. Crawford because of a separate u 769 chars ",2019-11-09T16:59:13Z
https://www.facebook.com/bbcnews,San Diego State University suspends fraternities after student dies,San Diego State University suspends 14 fraternities after 19 year old Dylan Hernandez's death.,Image copyrightGoFundMeImage caption The death of Dylan Hernandez was confirmed on Monday evening San Diego State University has suspended 14 fraternities following the death of a 19 year old student who had allegedly attended a fraternity event. Dylan He 2297 chars ,2019-11-12T12:53:39Z
"Taylor Romine, CNN",A 112 year old letter was found during renovations at a New Jersey university,"Renovations at Montclair State University in New Jersey uncovered a 112 year old letter from the workers who built one of the original buildings on campus, the university said.",nan,2019-11-30T10:03:07Z
Aaron Randle,"Racial Slurs, and 15 Days That Shook Syracuse",How a protest by students of color at Syracuse University NotAgainSU electrified the campus and gained national attention.,"White fraternity members approached on campus declined to comment on the protests. The Syracuse Intrafraternity Council said it would improve education programs on issues surrounding racism, implicit bias and sexual assault. The Syracuse University community 1432 chars ",2019-11-27T10:00:31Z
Kerry O’Brien,Burning Pianos and Whispering Rivers A Composers Journey,"Annea Lockwood, influenced by ecofeminism, will be celebrated at 80 with a Composer Portrait concert at Columbia University.","Ive always thought of rivers as alive, as live phenomena, she said by phone from her current home, in Westchester County, N.Y. It became very clear to me that rivers create their sound by the way they interact with the materials in their banks through frictio 1280 chars ",2019-11-08T17:31:42Z
Billy Witz,"A Good Problem for Stephen F. Austin Distributing 137,000 in Charity",A pastor from the Bahamas and a mid major university must deal with the ramifications of a surprise windfall.,"And thats when the donations began to roll in and in and in. Kara Carpenter, Stephen F. Austins assistant athletic director for compliance, said the school had started a GoFundMe account in September to help Bain raise money for his parents home in a way th 2064 chars ",2019-11-29T22:24:42Z
"Lauren M. Johnson, CNN","Alex Trebek to 'round up' Ottawa University donation, giving his alma mater a cool 10 million","Ottawa University will take donations for 10 million, Alex.",nan,2019-11-14T21:45:13Z
Mike Ives,Your Wednesday Briefing,"Gordon Sondland, Syracuse University, Grammys Here's what you need to know.","In the mid 1950s, the start of the silver age, superheroes rebounded, bolstered by a new Flash Barry Allen, a forensic scientist , a new Hawkman Katar Hol, an alien police detective and others. A twist came in 1961s Flash No. 123, by Gardner Fox and Carmi 927 chars ",2019-11-20T10:34:19Z
https://www.facebook.com/bbcnews,China facial recognition Law professor sues wildlife park,"A university professor is suing a wildlife park for introducing facial recognition, in a landmark case.","Image copyrightAFPImage caption Facial recognition has seen extensive rollout in China A university professor is suing a wildlife park for enforcing facial recognition, in one of the first significant legal challenges to China's rapidly growing use of the 6820 chars ",2019-11-08T09:41:28Z
Mihir Zaveri,14 San Diego State University Fraternities Are Suspended Amid Inquiry Into Students Death,"The circumstances surrounding the 19 year olds death were not immediately released, but the authorities said they were looking into possible misconduct at a fraternity.","The suspension, which was imposed on Friday, is a heavier penalty, essentially a cease and desist, the university said. The fraternities cannot hold activities, participate in university activities or recruit new members pending external review, the universit 1104 chars ",2019-11-12T05:24:09Z
Katie Rogers,"On the Scoreboard The Home Team, the Visitors and Trump","The presidents visit to the University of Alabama, in the thick of an impeachment inquiry, was not without the usual controversy over whether hed be booed or not.","Theyre ruining the game, Mr. Trump told a rally crowd in Alabama in 2017, describing the players protests as a total disrespect of our heritage, and urging team owners to fire them. Even in the White House, professional sports has never been far away. Mr. Tr 2500 chars ",2019-11-09T22:05:06Z
Austin Ramzy,Hong Kong Police End 2 Week Campus Siege,"The police found no protesters during a final search of Polytechnic University, the site of some of the most violent clashes the city has seen this year.","Protesters also set fire to tollbooths near the campus, leading to the two week closure of a major tunnel linking the Kowloon Peninsula with Hong Kong Island. The police said more than 5,800 people had been arrested in connection with the protests since earl 1462 chars ",2019-11-29T06:37:47Z
Megan Specia,London Bridge Attack Victims Were Advocates for Prisoner Rehabilitation,"Saskia Jones and Jack Merritt, who were killed in the attack, had worked with a prison education program backed by Cambridge University.","Jeremy Corbyn, the leader of the opposition Labour Party, told Sky News that he believed that the criminal justice system needed to be reassessed. But he challenged the idea that people sentenced for terrorism offenses should not be released early, and pointe 1021 chars ",2019-12-02T15:11:39Z
Neil Vigdor,Yale Womens Soccer Coach Leaves School Amid Allegations of Sexual Misconduct,The accusations against Brendan Faherty stem from when he coached at the University of New Haven a decade ago.,"We fully support the womens soccer team I am meeting with them to offer resources during this difficult time and I look forward to charting a new path forward together, Ms. Chun said. We know change is hard, but also know the strength and resiliency of our w 1769 chars ",2019-11-22T03:52:00Z
Nicholas Bogel-Burroughs and Hannah Phillips,He Invited Donald Trump Jr. to Campus. Now Hes Facing Impeachment.,The student body president of the University of Florida is under fire for using student fees to host one of President Trumps sons.,"He said he had attended the talk and never viewed it as a campaign event. The drive to oust Mr. Murphy, he said, showed that the opposition party would look for anything to remove the elected president. I think that they have no cigar in both cases, he said. 1537 chars ",2019-11-14T00:19:33Z
Nicholas Bogel-Burroughs,"Our Professors Views Are Vile, University Says. But We Cant Fire Him.",A provost at Indiana University has earned praise for harshly condemning a professors views while respecting the First Amendment.,"On campus on Friday, students were still talking about the controversy, even as many packed up for a week of vacation that runs through Thanksgiving. Selena Drake, a senior studying law and public policy, said she understood that speech needed to be protected 2125 chars ",2019-11-22T23:25:10Z
Eileen Sullivan,Who Is Jonathan Turley Republicans Lone Expert on Impeachment,"A professor at George Washington University Law School, he has represented whistle blowers, members of Congress and terrorism suspects.","Impeachment by its nature, its a political process. What people think is going to happen can turn out to be very different from what happens. Because it has to do with elected officials holding another elected official to account for their conduct. When the f 6488 chars ",2019-12-04T15:31:17Z
https://www.facebook.com/bbcnews,Hong Kong protests Police officer wounded in leg by arrow,Police and anti government protesters are involved in renewed canada education clashes near a university campus.,Image copyrightAFPImage caption The officer was struck close to the Hong Kong Polytechnic University A Hong Kong police officer has been wounded in the leg with an arrow as security forces and anti government protesters engaged in renewed clashes. Images 2823 chars ,2019-11-17T12:48:20Z
https://www.facebook.com/bbcnews,"Election 2019, Your Questions Answered Where should students vote ","Should students vote at home or at university, and more of your questions answered.","Image caption Our question askers clockwise from top left Charlie Evans, Georgie, Josh Payne and Tom Polling day is five weeks away, but you can only confront the big question who do I vote for once you have navigated the basics, such as registerin 5883 chars ",2019-11-07T01:08:26Z
Elaine Yu and Steven Lee Myers,Hong Kong Protests Hundreds Arrested at a University and a Warning from Beijing,About 100 protesters remain holed up inside a besieged college campus.,"Article 158 of the Basic Law does, however, give the congress the final authority over interpreting whether the Basic Law conflicts with national law. It also calls on Hong Kongs Court of Final Appeal to seek the legislatures interpretation in considering cas 1708 chars ",2019-11-19T04:47:35Z
Nick Douglas,Everything You Like Is Propaganda,"A state funded Russian propaganda agency is sowing discord in America through schmaltzy feel good social media accounts, say researchers at Clemson University. These accounts, they claim, share clichd heartwarming and makes you think content that sometim","A state funded Russian propaganda agency is sowing discord in America through schmaltzy feel good social media accounts, say researchers at Clemson University. These accounts, they claim, share clichd heartwarming and makes you think content that sometimes g 4742 chars ",2019-11-27T14:00:00Z
Evan Simko-Bednarski,Gymnast at Southern Connecticut State University dies after a fall in training,"Melanie Coleman, a 20 year old gymnast at Southern Connecticut State University, died Sunday after sustaining an injury while training last Friday."," CNN Melanie Coleman, a 20 year old gymnast at Southern Connecticut State University, died Sunday after sustaining an injury while training last Friday. Ken Sweeten, a spokesperson for Southern Connecticut State, confirmed to CNN Monday that Coleman fell du 1937 chars ",2019-11-12T03:51:55Z
"Rob Frehse and Christina Maxouris, CNN",10 people indicted after investigation into the death of an 18 year old Ohio University fraternity pledge,"Ten people including seven fraternity members were indicted after an investigation into the death of an 18 year old fraternity pledge at Ohio University last year, prosecutors said.",nan,2019-11-20T10:13:45Z
"Amir Vera, CNN",Ohio State's Chase Young returns after 2 game suspension and breaks team's single season sacks record,Ohio State University star defensive end Chase Young broke the school's single season sacks record in his return Saturday after a two game suspension.,nan,2019-11-24T01:06:37Z
,Late night host surprises college students with free tuition,"""Tonight Show"" host Jimmy Fallon surprised three University of Texas students by telling them Samsung would be paying for the remainder of their college tuition.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-09T11:35:22Z
,112 year old message in bottle found,Renovations at Montclair State University in New Jersey helped uncover a 112 year old letter from workers who built one of the original buildings on campus.,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-29T20:53:48Z
,Football players suspended from team for sharing racist image,"At least four students at the University of Wisconsin Eau Claire have been suspended from the football team, after they shared an image of Klansmen burning a cross.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-22T06:20:35Z
George Dvorsky,Stingray Shaped Probes Could Explore Venuss Atmosphere,"Researchers with the University at Buffalo are working on a conceptual design that would see a morphing aircraft explore the skies above Venus, including its elusive dark side. Read more...","Researchers with the University at Buffalo are working on a conceptual design that would see a morphing aircraft explore the skies above Venus, including its elusive dark side. Its called BREEZE, or Bio inspired Ray for Extreme Environments and Zonal Explora 3900 chars ",2019-11-11T21:40:00Z
Jonathan Shieber,Coda Biotherapeutics is developing a cure for pain,"If the researchers, executives and investors behind Coda Biotherapeutics have their way, one day soon there really could be a cure for pain. Co founded by researchers Joseph Glorioso, from the University of Pittsburghs microbiology and molecular genetics dep","If the researchers, executives and investors behind Coda Biotherapeutics have their way, one day soon there really could be a cure for pain. Co founded by researchers Joseph Glorioso, from the University of Pittsburghs microbiology and molecular genetics de 4366 chars ",2019-11-05T14:29:50Z
Darrell Etherington,Stingray inspired spacecraft could eventually probe the atmosphere of Venus,"NASAs next Venus probe could be an atmosphere skimming robotic stingray designed by the University of Buffalo. UBs CRASH Lab, which is the institutions Crashworthinesss for Aerospace Structures and Hybrids laboratory, has been selected by NASA to get early","NASAs next Venus probe could be an atmosphere skimming robotic stingray designed by the University of Buffalo. UBs CRASH Lab, which is the institutions Crashworthinesss for Aerospace Structures and Hybrids laboratory, has been selected by NASA to get early 1029 chars ",2019-11-11T16:19:56Z
Jon Evans,Mass media vs. social media,"In the waning years of the last millennium, at my university, one of the cause clbres of the progressive left was a concept known as Manufacturing Consent, the title of a book and film, by and starring Noam Chomsky. Its central thesis was that US mass med","In the waning years of the last millennium, at my university, one of the cause clbres of the progressive left was a concept known as Manufacturing Consent, the title of a book and film, by and starring Noam Chomsky. Its central thesis was that US mass med 4395 chars ",2019-12-03T04:20:14Z
Saavon Smalls,This computer can write Shakespearean prose Future Blink,"The Columbia University project creates poetic captions for paintings. The computer's program combines English poems, classic art, and Shakespearean styled writing. Read more... More about Tech, Mashable Video, English, Play, and Shakespeare",nan,2019-11-08T21:07:16Z
Reuters Editorial,Hong Kong leader hopes for peaceful resolution of university standoff,"Hong Kong's embattled leader, Carrie Lam, hopes a standoff between police and anti government protesters at a major university can be resolved peacefully, she said on Tuesday, adding that she had told police to handle it in a humane way.","HONG KONG Reuters Hong Kongs embattled leader, Carrie Lam, hopes a standoff between police and anti government protesters at a major university can be resolved peacefully, she said on Tuesday, adding that she had told police to handle it in a humane way. 443 chars ",2019-11-19T02:13:22Z
Reuters Editorial,Masked university students rally at graduation ceremony in Hong Kong,"About 1,000 students, many wearing black masks, attended a graduation ceremony at the Chinese University of Hong Kong on Thursday, with some holding up banners urging ""Free Hong Kong, Revolution Now"".","HONG KONG Reuters About 1,000 students, many wearing black masks, attended a graduation ceremony at the Chinese University of Hong Kong on Thursday, with some holding up banners urging Free Hong Kong, Revolution Now. The students defied a ban on masks 1833 chars ",2019-11-07T04:11:40Z
Reuters Editorial,Hong Kong police chief urges protesters to leave university campus,"Protesters holed up at a Hong Kong university campus should leave and there is no deadline to clear them, the city's police chief said on Friday, adding that he hoped for a peaceful resolution to the standoff.","HONG KONG Reuters Protesters holed up at a Hong Kong university campus should leave and there is no deadline to clear them, the citys police chief said on Friday, adding that he hoped for a peaceful resolution to the standoff. At least eight protesters 294 chars ",2019-11-22T04:16:19Z
,Sanjay Gupta explains Carter's procedure,"Former President Jimmy Carter is recovering at Emory University Hospital following surgery to relieve pressure on his brain from a subdural hematoma, The Carter Center said in a statement. CNN's Dr. Sanjay Gupta reports.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-12T16:20:24Z
"Angela Barajas and Harmeet Kaur, CNN",Ex LSU student gets 5 years for the hazing death of fraternity pledge,"A former Louisiana State University student was sentenced to five years in prison in the 2017 hazing death of 18 year old fraternity pledge Maxwell Gruver, a court official told CNN.",nan,2019-11-20T22:08:43Z
"Paul Vercammen, CNN","A year after shooting, a family remembers the man who died protecting others","Victoria Rose Meek and her older brother, Justin, grew up attached at the boot country music loving, water polo playing, singing and criminal justice majors at California Lutheran University.","Thousand Oaks, California CNN Victoria Rose Meek and her older brother, Justin, grew up attached at the boot country music loving, water polo playing, singing and criminal justice majors at California Lutheran University. ""I called them the fraternal twi 3370 chars ",2019-11-07T16:22:09Z
,This is where mall Santas are made,"Spreading Christmas cheer is serious business, so Santas head to Santa University every year to brush up on their skills. Hear from the pros about what makes a perfect Saint Nick.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-29T16:01:06Z
,Hong Kong activists describe time in police custody,"Allegations of mistreatment by police and abusive behavior are surfacing after more than 1,000 people were arrested leaving Hong Kong Polytechnic University. Two human rights observers, who say they were wrongly arrested, speak to CNN's Paula Hancocks.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-28T07:14:32Z
,Sanjay Gupta explains Carter's procedure,"Former President Jimmy Carter was admitted to Emory University Hospital in Atlanta ahead of a procedure to relieve pressure on his brain, the Carter Center announced in a statement posted to Twitter.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-12T12:57:42Z
,Students warned against 'disruptive behavior' ahead of Trump visit,"University of Alabama students were sent a letter from the student government association warning about ""disruptive behavior"" ahead of President Donald Trump's football game visit. Trump has been booed during appearances at recent sporting events.",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-07T20:28:50Z
"Konstantin Toropin and Steve Almasy, CNN","Atlanta student was strangled by roommate's boyfriend, police say","A Clark Atlanta University student was strangled by her roommate's boyfriend and left in the woods at a local park after she was killed, court documents from the Atlanta police say."," CNN A Clark Atlanta University student was strangled by her roommate's boyfriend and left in the woods at a local park after she was killed, court documents from the Atlanta police say. The documents, which include police reports and interview summaries, pa 2998 chars ",2019-11-13T01:45:39Z
Al Williams,University Makes Bulletproof 3D Prints,Researchers at Rice University are studying 3D printing plastic structures that mimic tubulanes theoretical nanotube structures predicted to have extraordinary strength. The result has been very strong and very compressible structures that can actually resi,Researchers at Rice University are studying 3D printing plastic structures that mimic tubulanes theoretical nanotube structures predicted to have extraordinary strength. The result has been very strong and very compressible structures that can actually resi 1076 chars ,2019-11-21T03:00:28Z
Andrew Liszewski,Researchers 3D Printed Plastic Cubes With Complex Patterns That Make them Bulletproof,"The technology continues to evolve, but 3D printing is still mostly used for creating prototypes or parts that wont have to endure tremendous stresses or rigorous wear and tear. That might not always be the case, however, as researchers at Rice University fo","The technology continues to evolve, but 3D printing is still mostly used for creating prototypes or parts that wont have to endure tremendous stresses or rigorous wear and tear. That might not always be the case, however, as researchers at Rice University fou 2787 chars ",2019-11-14T16:40:00Z
Oskar Garcia,"James Wiseman, Memphis Standout, Fights Ineligibility Ruling",The university says the family of the favorite to be the top pick in the N.B.A. draft next summer took money before he was with the team to move to Memphis. A judge said late Friday that the star could play his teams next game.,"James Wiseman, a top basketball prospect expected to star for Memphis this year, filed a lawsuit against the N.C.A.A. and the university on Friday after the sports governing body declared him ineligible to play. A judge issued a temporary restraining order th 832 chars ",2019-11-09T00:09:03Z
Andrew Liszewski,Researchers Created Holograms You Can Feel and Hear,"Holograms are no longer just a vaguely futuristic term that helps startups secure seed money, or a way to bring deceased performers back to sell more concert tickets. Researchers at the University of Sussex have created animated 3D holograms that can not only","Holograms are no longer just a vaguely futuristic term that helps startups secure seed money, or a way to bring deceased performers back to sell more concert tickets. Researchers at the University of Sussex have created animated 3D holograms that can not only 2510 chars ",2019-11-14T22:05:00Z
Andrew Liszewski,Smartphone Videos Can Now Be Analyzed and Used to Pinpoint the Location of a Shooter,Complex arrays of microphones are often used by law enforcement and the military to help quickly pinpoint where the sound of gunfire originates. But researchers at Carnegie Mellon University have found that videos captured by smartphones can be just as useful,Complex arrays of microphones are often used by law enforcement and the military to help quickly pinpoint where the sound of gunfire originates. But researchers at Carnegie Mellon University have found that videos captured by smartphones can be just as useful 2442 chars ,2019-11-21T15:20:00Z
,Hong Kong protesters forced to remain in occupied university Guardian News,Hong Kong protesters forced to remain in occupied university Guardian News Hong Kong showdown Protesters close in on trapped allies as police try to clear occupied university Fox News Hong Kong police surround university as standoff with students continues C, getSimpleString data.title getSimpleString data.description getSimpleString data.videoCountText ,2019-11-18T21:08:03Z
msmash,"Silicon Valley's Singularity University Is Cutting Staff, CEO Exits","Singularity University, a Silicon Valley institute offering education on futurism, is reckoning with its own uncertain future. The chief executive officer is stepping down, and the organization plans to eliminate staff. From a report The changes were outline",The Fine Print The following comments are owned by whoever posted them. We are not responsible for them in any way.,2019-11-13T18:30:00Z
Emily Price,"The Best Place to Park Your Car at the Mall, According to Math","If your holiday shopping adventures bring you to your local mall or shopping center this year, theres some strategy behind where you park when you get there. Read more...","If your holiday shopping adventures bring you to your local mall or shopping center this year, theres some strategy behind where you park when you get there. Researchers at Santa Fe University and Boston University looked into where you should park in that c 1327 chars ",2019-12-01T00:55:00Z
(Deleted account),Watch a swarm of robots build a timber tower from scratch,"Students at the University of Stuttgart in Germany have developed a system of robots that communicate to jointly construct complex timber structures. Their paper, entitled Distributed Robotic Assembly System for In Situ Timber Construction, envisions such rob",nan,2019-11-18T16:23:38Z
Saavon Smalls,This is the worlds largest 3D printed boat Future Blink,"Created by the University of Maine in just three days, the 3Dirigo was also made with the worlds largest 3D printer, and is the world's largest solid 3D printed object. Read more... More about Tech, Transportation, Mashable Video, 3d Printing, and Boat",nan,2019-11-07T22:23:09Z
,Security tightened as FBI investigates threats at Syracuse University l ABC News ABC News,Security tightened as FBI investigates threats at Syracuse University l ABC News ABC News White supremacist manifesto at Syracuse University sparks scare after recent racist incidents NBC News Four Syracuse University students suspended after racist incidents,nan,2019-11-21T14:38:38Z
The Canadian Press,University of Alberta students call on school to fire assistant lecturer who denies the Holodomor The Globe and Mail,University of Alberta students call on school to fire assistant lecturer who denies the Holodomor The Globe and Mail Alberta university students want lecturer who denies Ukrainian famine fired Calgary Herald Calls to oust University of Alberta lecturer over g,"The University of Alberta campus is pictured in Edmonton, Alta., in an Aug. 26, 2016, file photo. CODIE MCLACHLAN The Globe and Mail Some University of Alberta students want the school to fire an assistant lecturer who denies the Holodomor, the mass genocid 2642 chars ",2019-11-29T16:50:29Z
The Associated Press,"Duke, the Nations No. 1 Team, Loses to Unranked Stephen F. Austin",Stephen F. Austin became the first non Atlantic Coast Conference team to beat Duke at home in nearly 20 years.,"DURHAM, N.C. Nathan Bain stole the ball and hit a layup at the overtime buzzer as Stephen F. Austin State University knocked off top ranked Duke University, 85 83, on Tuesday night, ending the Blue Devils 150 game home winning streak against nonconference opp 962 chars ",2019-11-27T06:08:03Z
"Leah Asmelash, CNN","Provost says professor's views are 'racist, sexist and homophobic' but he won't be fired","Indiana University has received hundreds of requests calling for a controversial professor to be fired, and a provost has called his views ""racist, sexist and homophobic."" But the school says that, while the professor does not represent its values, he is prot"," CNN Indiana University has received hundreds of requests calling for a controversial professor to be fired, and a provost has called his views ""racist, sexist and homophobic."" But the school says that, while the professor does not represent its values, he is 6001 chars ",2019-11-22T04:47:27Z
,Syracuse student after racist incidents I don't feel safe,"A student group has staged a sit in at Syracuse University following a string of racist incidents. One student who says says she has personally experienced racist language on campus joins Anderson Cooper to discuss their protest and demands. Watch ""Full Circl",Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,2019-11-18T22:49:24Z
Catherine LAI,Hong Kong university protesters defy surrender warnings,"Dozens of exhausted pro democracy protesters barricaded inside a Hong Kong university defied warnings Tuesday to surrender, as a police siege of the campus dragged into a third day and China sent fresh signals that its patience with nearly six months of unres","Hong Kong AFP Dozens of exhausted pro democracy protesters barricaded inside a Hong Kong university defied warnings Tuesday to surrender, as a police siege of the campus dragged into a third day and China sent fresh signals that its patience with nearly s 4973 chars ",2019-11-19T05:30:19Z
Carrie Mihalcik,"Google will offer checking accounts next year, report says CNET",The tech giant is reportedly partnering with Citigroup and a credit union at Stanford University.,"Google is just the latest tech giant to get into financial services. James Martin CNET Google reportedly plans to start offering checking accounts to consumers next year. The accounts will be run by Citigroup and a credit union at Stanford University, accor 1005 chars ",2019-11-13T13:39:18Z
Whitney Kimball,Is Julian Assange Okay or What ,"Julian Assange got a doctors notedoctors, plural, from over 60 doctors, yes, s i x t y. In an assessment culled from harrowing eyewitness accounts from his October court hearing, as well as testimony from various doctors and visitors over the years. They","Julian Assange got a doctors notedoctors, plural, from over 60 doctors, yes, s i x t y. In an assessment culled from harrowing eyewitness accounts from his October court hearing, as well as testimony from various doctors and visitors over the years. They writ 2193 chars ",2019-11-25T22:39:00Z
Andrew Liszewski,Researchers Create Trash Talking Robot That Proves Machines Can Get Under Humans Skin,"Trash talk has long been an effective but underhanded tool when it comes to sports, gaming, and other competitive endeavors. But its been assumed that its a strategy that only works between humans who can deliver remarks with emotional weight. It turns ou","Trash talk has long been an effective but underhanded tool when it comes to sports, gaming, and other competitive endeavors. But its been assumed that its a strategy that only works between humans who can deliver remarks with emotional weight. It turns out 2578 chars ",2019-11-19T17:10:00Z
Reuters Editorial,Hong Kong riot police fire tear gas at university campus amid unrest,"Hong Kong riot police fired tear gas at City University campus in Kowloon Tong on Tuesday, a day after a protester was shot and a man set on fire in some of the most dramatic unrest to rock the Chinese ruled city in more than five months.","HONG KONG Reuters Hong Kong riot police fired tear gas at City University campus in Kowloon Tong on Tuesday, a day after a protester was shot and a man set on fire in some of the most dramatic unrest to rock the Chinese ruled city in more than five months 288 chars ",2019-11-12T00:16:33Z
"Beth Skwarecki on Vitals, shared by Beth Skwarecki to Lifehacker",Vegetables Do Not Have Gender,"Have you heard that female watermelons are sweeter than male ones That male eggplants are less bitter than female ones That male peppers have fewer seeds Well, you heard wrong. Read more...","Have you heard that female watermelons are sweeter than male ones That male eggplants are less bitter than female ones That male peppers have fewer seeds Well, you heard wrong. Let me explain what happens when one vegetable loves another vegetable very m 1976 chars ",2019-11-05T21:00:00Z
Reuters Editorial,Highlights Protesters in a Hong Kong university search for escape route,The last band of anti government protesters trapped inside a besieged Hong Kong university were weighing a narrowing range of options on Wednesday as police outside appeared ready to simply wait them out.,HONG KONG Reuters The last band of anti government protesters trapped inside a besieged Hong Kong university were weighing a narrowing range of options on Wednesday as police outside appeared ready to simply wait them out. Following is the latest news f 3344 chars ,2019-11-20T03:21:49Z
Kate Lamb Jessie Pang,University campus siege nears end as Hong Kong gears up for election,"A Hong Kong university campus under siege for more than a week was a deserted wasteland on Saturday, with a handful of protesters holed up in hidden refuges across the trashed grounds, as the city's focus turned to local elections.","HONG KONG Reuters A Hong Kong university campus under siege for more than a week was a deserted wasteland on Saturday, with a handful of protesters holed up in hidden refuges across the trashed grounds, as the citys focus turned to local elections. The 3046 chars ",2019-11-23T02:55:06Z
Jessie Pang,Fears of bloodshed as Hong Kong university standoff enters third day,"Hong Kong's new police chief called for the support of all citizens to end social unrest that has disrupted the city for more than five months, while protesters remained trapped by his officers at a university for a third day on Tuesday.", Drawing attention to language in paragraph 12 that might offend some readers By Jessie Pang and James Pomfret HONG KONG Reuters Hong Kongs new police chief called for the support of all citizens to end social unrest that has disrupted the city for 4843 chars ,2019-11-19T02:30:03Z
Mark Frauenfelder,Artist Drew Friedman has an exhibit at Ohio State University,"A while back we ran some pages from Drew Friedman's new book All the Presidents, which has a portrait of every U.S. President, drawn by Drew. If you happen to be anywhere near Ohio State University, do yourself a favor and see Drew's ""Drawn to Presidents exh","The Billy Ireland Cartoon Library amp Museum presents Drawn to Presidents Portraits and Satiric Drawings by Drew Friedman November 2, 2019 through February 9, 2020. Pennsylvania based illustrator Drew Friedman has employed his intensely realistic, warts a 655 chars ",2019-11-06T14:00:08Z
KEN MORITSUGU and ANDI JATMIKO,Last Hong Kong protesters at Polytechnic University surrounded by police Global News,"Last Hong Kong protesters at Polytechnic University surrounded by police Global News York University and U of T calling exchange students home from Hong Kong amid rising protests CBC.ca Pompeo says U.S. concerned about Hong Kong violence, says China must hono","About 100 anti government protesters remained holed up at a Hong Konguniversity Tuesday, unsure what to do next as food supplies dwindled and a police siege of the campus entered its third day. City leader Carrie Lam said 600 people had left the Hong Kong Po 3729 chars ",2019-11-19T11:01:54Z
Reuters Editorial,Highlights Hong Kong on edge as anti government protests grip city,Anti government protests gripped Hong Kong on Tuesday as riot police fired tear gas at a university campus and traffic and rail disruptions caused commuter chaos.,HONG KONG Reuters Anti government protests gripped Hong Kong on Tuesday as riot police fired tear gas at a university campus and traffic and rail disruptions caused commuter chaos. The city is on edge a day after a protester was shot and a man set on fi 2243 chars ,2019-11-12T03:27:14Z
Reuters Editorial,Footage shows daring escape by Hong Kong protesters on motorbikes,Dozens of protesters escaped from Hong Kong Polytechnic University on Monday on the back of motorbikes as police fired projectiles at them.,HONG KONG Reuters Dozens of protesters escaped from Hong Kong Polytechnic University on Monday on the back of motorbikes as police fired projectiles at them. After shimmying down plastic hosing from a bridge they had been occupying on the university cam 1439 chars ,2019-11-18T17:15:08Z
https://www.facebook.com/bbcnews,Student poverty French march in protest after suicide bid,A student who set himself on fire on Friday blamed his severe financial difficulties on government.,Image copyrightAFPImage caption Protesters gathered at the Lyon university attended by the student Students have marched through cities across France to show solidarity with a student who attempted suicide on Friday. The 22 year old man set himself on fi 1811 chars ,2019-11-12T23:28:38Z
