Tweet,message,match,polarity
979,rt albertajeff years ago i dated an amazing individual from alberta care. relied on this money amp care worker to build her up amp provide a,amazing,positive
980,rt jkenney former liberal premier frank mckenna gets it. the land locking of canadian energy has created a huge transfer of wealth from,premier,positive
981,rt nabakkhan here at ayannapressleys election day townhall at boston university pressley answered questions from students on everythin,None,neutral
982,rt cbc a 94 year old blind woman was kept in her room in a b.c. nursing home for two weeks as bedbugs multiplied on her mattress. a staff,blind,negative
983,the prince of peace ministries amp the temple university lenfest north philadelphia workforce initiative are hosting ,peace,positive
984,"long beach states university police department is responsible for patrolling the campus, so we took a ride along t ",None,neutral
985,rt slimzymanny every university has that lecturer who always look unkempt as if they don't receive salaries. ,None,neutral
986,"rt sdv 32 a greenville university ra heard that a couple was laying in bed together, this was the aftermath ",None,neutral
987,a big thank you to everyone who attended day 1 of esricanadauc in halifax today. share your pictures from the uc o ,thank,positive
988,canadian regulators seize and shut down an exchange canada cryptocurrencies,None,neutral
989,"rt miss mcinerney also, it now appears he went to a sixth form college which, if we allow it as fe, makes him the first edu sec to atten",miss,negative
990,rt 5plusph the philippine women's national volleyball team will test its mettle against the country's finest players and university of ts,finest,positive
991,rt kieserbill the premier's are organizing a meeting on canadian unity while trudeau is surfing in bc. discussed will be pipelines amp equa,unity,positive
992,rt akidnaufaljerh hii pls i wanna go with my gf cause sg is nonsense alrdy ,nonsense,negative
993,"rt tsinghua uni tsinghua ranked as the top university for engineering, computer science and civil engineering according to usnewseducat",top,positive
994,"just a reminder for everyone in the us, make sure to vote every chance you get every election is important, voting ",None,neutral
995,rt spencerfernando epsteincoverup is trending in canada following stunning project veritas report. ,stunning,positive
996,rt canesinsight fastest lb in the country. ,fastest,positive
997,"rt dirtydiana97 omg, how time flies... prince told me to graduate high school with honours. this week, i graduated with a bachelors of p",None,neutral
998,"rt jkenney encana packing its bags and leaving canada should be a wake up call, not just to the oil and gas sector, but to all canadians",None,neutral
999,rt basedpoland university students in usa westerneurope amp brazil are often too poorly educated in history culturalmarxist teachers,None,neutral
1000,rt natesilver538 there are six a rated pollsters monmouth university selzer amp co. abc news washington post marist colle,None,neutral
1001,rt jdouglaslittle good decision from ndp. trudeau basically has to say yes or no to these. awkward. canada's trudeau faces first chal,good,positive
1002,"rt netflixfilm were celebrating the release of the king and turning over the rei g ns to herberthistory, doctoral candidate in history",None,neutral
1003,rt uarizonalaw the wrongful conviction clinic at the university of arizona james e. rogers college of law has been accepted as a member o,wrongful,negative
1004," huddledmasses1 angryvegan10 rneedham8888 ilhanmn i learnt islam from the quran, the hadith and the attitude of ",None,neutral
1005,rt dropinderjit thank you to the indian high commission london and university of southamptons india centre for inviting me to deliver th,thank,positive
1006,rt shirtlesshorde with the world's longest coastline canada should lead the world in offshore windpower offshore wind is now cheaper th,cheaper,positive
1007,the med surg therapiesteam uhnm nhs are looking for a forward thinking advanced occupationaltherapist to become ,advanced,positive
1008,rt wanlov pls is true...i was there a few days ago ,None,neutral
1009,rt talkfast people who go to university full time and dont wanna die camping on the streets for a week be like ,None,neutral
1010,"rt adiaz phd feeling excited. on my way to north carolina together with my friend and colleague kngonzalez phd, we will be visiting nor",None,neutral
1011,this arena is in the works at the university of texas but more sports facilities are on the horizon. ,works,positive
1012,rt kevinwennekes ictc ctic is launching a series of policy roundtables on smartcities in canada to discuss important policy consider,important,positive
1013,"there will still be researchers in canada, england, germany, france, spain, japan, italy, mexico and many more free ",free,positive
1014,rt truenorthcentre the government has denied playing any role in the drafting in the publication of a controversial muslim voting guide b,controversial,negative
1015,"rt kenfoxe apart from the housing crisis, the fact you can't drink the tap water, the collapse in university standards, the abysmal state",abysmal,negative
1016,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
1017,"rt monaheart1229 well, whaddya know ohio lawmaker is seeking to compel gop rep. jim jordan to testify under oath about whether he was aw",None,neutral
1018,"rt hfxpublib food is more than a mealit allows us to share and celebrate our diverse cultures, heritage, and traditions. join us with n",celebrate,positive
1019,"rt jamesmelville denmark pays its students 1,000 a month to go to university and charge no tuition fees. students are seen as an investm",None,neutral
1020,"one in three canadians view china favourably amid a diplomatic dispute, a poll suggests ",diplomatic,positive
1021," roger stone trump ally, political strategist and nixon fan ",trump,positive
1022,today's weenie college students are exactly the types that would honor that ban.,honor,positive
1023,we making headlines all over we are getting billboards we have other celebrities support please bring back wonho ,support,positive
1024,rt renumandhane i dedicate this special recognition of achievement award from excellencecan to the many marginalized and vulnerable peop,award,positive
1025,rt slimzymanny every university has that lecturer who always look unkempt as if they don't receive salaries. ,None,neutral
1026,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
1027, bluewaterbridge as of 6pm wait times heading wb into the u.s. is less than 15 min. for cars and 30 45 min. for com ,None,neutral
1028, ameliaearhrt going to canada like a draft dodging 70s dude to wait for a debt pardon from president sanders,pardon,positive
1029,"rt tonyposnanski aoc graduated magna cum laude from boston university and won her election in a landslide. you barely graduated college,",won,positive
1030,rt lamphieryeg scheer's climate change plan included using cdn technology to help high emissions countries like india reduce their emissi,like,positive
1031,great session on spine. development of imaging markers for back pain is a critical unmet need and university of uta ,critical,negative
1032,"so, 11k publicly funded scientists 400 from right here in canada have penned an open letter declaring that there ",right,positive
1033," drcaveatlector tomiahonen former vice rector of jewish university, close to the kremlin economist, vladislav gink ",vice,negative
1034,shop for discounted brand name perfumes at up to 80 off department store prices perfumes colognes luxury ,luxury,positive
1035,enough with the quebec politics or paranoia the rest of canada is saturated. there are only so many farts we c ,None,neutral
1036,rt afpphoto university students wear guy fawkes masks before their graduation ceremony at the hong kong polytechnic university in hong ko,None,neutral
1037,"rt nspector4 with canada seriously fractured, we're still getting this kind of boilerplate crap from trudeau's pmo cdnpoli ",crap,negative
1038,rt sydneyjade stephen f. austin university student killed in crash after driver runs red light at 80 mph plea,plea,negative
1039,i remember when i was in elementary school i once physically assaulted ciara the r amp b singer then rose made me wash ,None,neutral
1040,so very proud of our former trainee and current collaborator dr. lisa mcewen bcchresearch healthystarts ,proud,positive
1041,"lak start eastern canada road swing in 90 min in the 6ix. here's an alternative pre game show, episode 11 of ",None,neutral
1042,"rt netflixfilm were celebrating the release of the king and turning over the rei g ns to herberthistory, doctoral candidate in history",None,neutral
1043,rt wbrettwilson canada needs to get its shit together and toss the eco alarmists devoid of facts hypocrites to the core right the f,hypocrites,negative
1044,rt zainm university tuition fees scrapped free bus for under 25s inject it straight into my veins ,free,positive
1045, tbt instagood instamood follow4like followers f4f followforfollowbak likeforlikes likesforlikesback ,None,neutral
1046,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
1047, nomorecentrists zachandmattshow lolamotz oginsley hellionhellfire france public pays ,None,neutral
1048,"rt immigrationref3 you came to the u.s. a decade ago. you filled in a job during a huge depression, when skilled americans lost their hom",None,neutral
1049,rt cravecreative and this ladies amp gentlemen of canada is how a leader protects his country amp its citizens from irreversible harm. ,irreversible,negative
1050,rt calimorrison wcet19 standing room only in microcredential wcetbadging check out sashatberr article in evobyds today on mcs amp the,None,neutral
1051,rt donbraid an rt from kenneys issues manager id say weve got a live issue here. ,issue,negative
1052,"under scrutiny from the aclu, lowndes county reinstated a precinct covering the core of valdosta state university. ",None,neutral
1053,rt engineeringgov know anyone interested in a career in engineering didyouknow there are three different routes to get in techn,None,neutral
1054,rt jkenney former liberal premier frank mckenna gets it. the land locking of canadian energy has created a huge transfer of wealth from,premier,positive
1055,rt davidth27763166 canada pics and videos of canada and storys mental health art by david thompson wasted tax payers money 4 bicycle rid,wasted,negative
1056,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
1057,rt marklundjoe good luck to baseball canada as the road to olympic starts today ,luck,positive
1058,"this thursday, nov. 7 at 4pm, our wic department is hosting a free infant massage class come learn how to soothe y ",soothe,positive
1059, cbc cbcnews cbcpolitics cbcscott cbcalerts cbccalgary ctvcalgary ctv powerplay is frank mckenna too bright ,bright,positive
1060,"rt aaronwherry this is very, very good. theturner's writing is a real gift to the climate policy discussion in canada. ",None,neutral
1061,tutto in un minuto i saw this on the bbc and thought you should see it trump envoy transcript explained in 60 sec ,trump,positive
1062,rt arielelysegold israeli logic we steal their water and then generously help them fight their water shortages. ,None,neutral
1063, ramen salmon no such name is associated with sailormoon. not here in canada.,None,neutral
1064,"rt mister cms happy voting day in the u.s., everyone shout out to kristnkringle for the canada hat ",happy,positive
1065,"in honor of olcaccelerate's 25th anniversary, ray schroeder of the university of illinois looks back at a little o ",honor,positive
1066,rt smolrillix i really hope i manage to get into university of alberta...,None,neutral
1067,"maybe canada needs an honest discussion about what ""racism"" really is. because right now, the word is overused to s ",right,positive
1068,rt johnfalconi2 did you know nhhager bethanywv hoops was a defensive specialist as a college player where he ranks third on his alma ma,defensive,negative
1069,rt mdot bwb bluewaterbridge as of 6pm wait times heading wb into the u.s. is less than 15 min. for cars and 30 45 min. for commercial ve,None,neutral
1070,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
1071,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
1072,rt eleanorbate i have never understood assigning a writer a topic they know nothing about because you think your audience can learn along,None,neutral
1073, abu khabbaab i dislike qm and ucl city university gt gt gt gt both of them.,dislike,negative
1074,rt 2013boodicca in the 1930s my poor london grandparents had very little. in the 1950s my parents had a little more. in the 1970s my gene,poor,negative
1075,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
1076,popular topic holistic psychology and wellness at lesley university ma ,popular,positive
1077,rt leavingacademy we asked each russell group university how many phd students they had recruited in arts and humanities between 2015 201,None,neutral
1078,rt shasheenk quite large facts here ,None,neutral
1079,rt immigrationcom wordswithsteph trump is a pious man. all his ladies on the side are holy. he grabs ladies reverently. he lies amp hides,None,neutral
1080, haveweallgonem1 many groups in the us does so much for their veterans it's about time canada does,None,neutral
1081,rt afpphoto university students wear guy fawkes masks before their graduation ceremony at the hong kong polytechnic university in hong ko,None,neutral
1082,rt fpvaughaniii this is sick. headline should be judge protects those who groom kids for sex. is grooming minors for sex something c,None,neutral
1083,rt randybandy12 anyone else remember being kinda late for school or on the way to the bathroom and o canada plays so you have to awkwardl,None,neutral
1084,rt ah science spencer mood iamatheistgirl try again atheists are nicer to christians compared to the other way around if their religi,nicer,positive
1085,rt phumzileunwomen baroness valerie amos appointed the first ever black college head at oxford university black history month 2019 http,None,neutral
1086,rt andrewscheer i'd like to thank every veteran and armed forces member across canada as we kick off veterans' week. thank you for your s,thank,positive
1087,rt grnllamas not for long ,None,neutral
1088,"rt bolanlecole pmb approves air force university in bauchi after defence academy in kaduna, war college in abuja amp army university in bor",None,neutral
1089, failurepunk don furious i agree i would like them gone from this side of the world completly. we don't need em to ,None,neutral
1090,"rt eternalenglish these commies never tire of demanding more money, more money, more money university staff will go on strike for eigh",strike,negative
1091,canada rallies with two more wins and pan americans ,None,neutral
1092,god el deal with em....,None,neutral
1093,"rt stephenpunwasi ontario's public education ranks 2nd in canada. ford and lecce want to change that, by including online classes mode",None,neutral
1094,rt gottalovetrey my fam is missing from the atlanta area. shes a student a clark atlanta university retweet and share please ,None,neutral
1095,rt mosquitoflt happening now stoptmx activists have stopped a shipment of tarsands pipe to canada by shutting down the port of vancouv,None,neutral
1096,"great day for my family and i. thank you yassinetalhaoui , hotchkisshoops , psacardinals amp coach munch for belie ",thank,positive
1097,"rt copernicuseu last month's temperatures were 0.69c above average, making october 2019 the hottest on record. as can be seen in th",hottest,positive
1098,rt carmindabrendel nicole kidmans father silenced by ninth circle satanic cult privately owned forest groves were believed used in the,None,neutral
1099,rt andrewscheer former liberal premier frank mckenna absolutely nails it. justin trudeaus attacks on the energy sector have driven jo,None,neutral
1100,rt natalia01mateo canada will now be a combination of the german success in renewables plus the immigration success of sweden. gweden g,success,positive
1101,"rt nikadragomira if we had to rank the stupidmost premiers we've ever had, across canada, surely ford would top the charts. ",top,positive
1102,rt andrewscheer i'd like to thank every veteran and armed forces member across canada as we kick off veterans' week. thank you for your s,thank,positive
1103,rt ross greer it's been exciting to see canadiangreens win election to provincial parliaments across canada amp last month achieve their f,win,positive
1104,"rt leeclarion in an email this afternoon to the student body, dr. paul conn announced he will be stepping down as president of lee univer",None,neutral
1105,rt filomen03258997 evoespueblo cancilleriave by telesurenglish bolivian president evoespueblo is working normally after a minor aircr,None,neutral
1106," bbc haveyoursay my daughter jade rice was in care, halifax social services. jade was in a home in bradley hud. ja ",None,neutral
1107,"rt haveweallgonem1 the fact is that canada must move beyond words on remembrance day, and start actually giving our veterans the help the",None,neutral
1108,"rt longlivegotham just a reminder for everyone in the us, make sure to vote every chance you get every election is important, voting is",None,neutral
1109,a canadian class action lawsuit has been filed taking issue with british columbias housing speculation and vacancy ,issue,negative
1110,as a child i attended a range of local youth clubs. aged 16 i started as a youth worker. college university the ,None,neutral
1111,"rt teampulte we love cryptocurrency, because blockchain in philanthropy is the future, but we are going to expose crypto scams out there.",None,neutral
1112,stfu.,None,neutral
1113,rt zainm university tuition fees scrapped free bus for under 25s inject it straight into my veins ,free,positive
1114,rt kolatubosun a better argument is that nigerian english is a foreign language and should qualify. that's why toefl is called test of en,better,positive
1115,rt edroso you fuckers are killing the planet. ,killing,negative
1116,"thank you todd poitras, liz theriault, and erauazwsoccer for a great official visit i'm excited to announce, i ha ",excited,positive
1117,rt asan don sooo why yall jus be recordin n not cussin these folks out ,None,neutral
1118,"rt haydenrhurst not only is he a great coach, he is a better man. im a product of coach. he brought out the best in me on the field, hel",best,positive
1119,rt arroganturban my top 4 1 the 2 ohio 3 state 4 university,top,positive
1120,its warm up time in the barn. first serve in one hour letsgoooooo ycpvb southern virginia university ,warm,positive
1121," dmg3465 palmerreport former vice rector of jewish university, close to the kremlin economist, vladislav ginko ak ",vice,negative
1122,rt jaw cee anyone else a first gen college student thats being guilted into staying close to home instead of going to a better universit,better,positive
1123,rt abc police are asking for help locating a 21 year old clark atlanta university student who vanished last week. ,None,neutral
1124,rt mad4madhatters shop for discounted brand name perfumes at up to 80 off department store prices perfumes colognes luxury scent,luxury,positive
1125,"rt shailjapatel constitutional monarchy when a non elected monarch functions as the head of state within the limits of a constitution, b",limits,negative
1126, damnkwaku me rolling up to that university with all of the early millennium spice. the founding fathers will not b ,None,neutral
1127,rt thomasbeyer if renewables are so cheap why is germany's electricity so expensive triple to canada and us per kwh ,expensive,negative
1128,"rt stephenpunwasi ontario's public education ranks 2nd in canada. ford and lecce want to change that, by including online classes mode",None,neutral
1129,rt jamesmelville scientists at manchester university have invented a graphene sieve that turns salt water into drinking water. this cou,None,neutral
1130,"rt christineeboyle i support this project. but also it doesnt matter if i support it or not, because it is a decision for squamishnatio",support,positive
1131,rt shirtlesshorde with the world's longest coastline canada should lead the world in offshore windpower offshore wind is now cheaper th,cheaper,positive
1132,weird fact ... i love ginger ale canada dry to be exact,None,neutral
1133," yvonneburton more than 11,000 scientists flip burgers to pay the bills, and take one class so they can keep their ",None,neutral
1134,rt maryjlovell wow yessss incredibly beautiful action shutting down the shipment of pipes check this greenpeaceusa greenpeaceca co,beautiful,positive
1135,rt leavingacademy we asked each russell group university how many phd students they had recruited in arts and humanities between 2015 201,None,neutral
1136,"rt netflixfilm were celebrating the release of the king and turning over the rei g ns to herberthistory, doctoral candidate in history",None,neutral
1137,rt secpompeo in august realdonaldtrump signed an executive order blocking property amp interests in property of the illegitimate maduro re,None,neutral
1138,"eli pasquale, olympian and canadian basketball hall of famer, dies at 59 ",dies,negative
1139," 1wilsonm jeremycorbyn when you say ""we"".. are u talking on my behalf also... finland... which doesnt charge tu ",None,neutral
1140,"these are the states, universities and countries have trained people to take action on sdgs. from lagos to ogun, os ",None,neutral
1141,rt chad novak4 . cmuniversity why are we allowing animal cruelty exploitation to happen on our campus we should be advocates in ending,exploitation,negative
1142,"rt leanahosea enbridge's line 3 will carry 760,000 barrels per day of tar sands oil from canada, across the american border to a refinery",None,neutral
1143,"rt teampulte we love cryptocurrency, because blockchain in philanthropy is the future, but we are going to expose crypto scams out there.",None,neutral
1144,"rt suzakitheamazon i want a gov that respects indiv rights common good, is fiscally responsible leaves me alone outside of core servic",None,neutral
1145,"rt sbsnews this ex manus detainee has been resettled in canada after locals personally sponsored him. now, these australian expats want t",None,neutral
1146,"olabisi onabanjo university, edo state university, university of benin, kwara state university ghana and rwanda. i ",None,neutral
1147,rt natesilver538 there are six a rated pollsters monmouth university selzer amp co. abc news washington post marist colle,None,neutral
1148,"rt monaheart1229 well, whaddya know ohio lawmaker is seeking to compel gop rep. jim jordan to testify under oath about whether he was aw",None,neutral
1149,"rt noahbookbinder a well deserved honor for waltshaub, longtime distinguished government ethics attorney and courageous head of the offi",courageous,positive
1150,rt bloombergca the leader of canadas greens resigns two weeks after an election that gave the party its best result ever ,best,positive
1151,"only quebecers legally entitled to go to english school have right to be served in english, premier says ",premier,positive
1152,extremely blessed to receive my 2nd offer from university of michigan goblue coachmessay coachjim4um ,None,neutral
1153,rt myabj this arena is in the works at the university of texas but more sports facilities are on the horizon. ,works,positive
1154,rt catalansforyes major breaking spain has issued an european arrest warrant for the st andrews university professor and former catalan,breaking,negative
1155,"rt sharyalcantara installed central 911 for emergency medical services unit, urban search and rescue unit, fire auxiliary service unit,",emergency,negative
1156, peopleinthecha3 angryvegan10 rneedham8888 ilhanmn university of what i can guarantee you are not college educated,educated,positive
1157,"one of my producers suggested i date someone in canada which is 3 hours away so i can have the excuse of saying, ",excuse,negative
1158,"rt nsfreepress gender identity, fashion, tumultuous relationships and immigration were all themes of films presented at a new school even",tumultuous,negative
1159,rt cravecreative canadian corruption at the highest level... and we haven't even scratched the surface of what the rcmp has covered up.,scratched,negative
1160,"rt nickimickeyb you see this starshipent you made this news in canada, even before the guys even made a tour stop here i will continue",None,neutral
1161, mattwalshblog is speaking at california state university los angeles now watch here gt ,None,neutral
1162,rt benhabib6 ive just been reading the dispute resolution provisions in the eu canada trade deal. the ecj has no role in that trade agre,dispute,negative
1163,"rt cafinus string out the days, months, years. across vimy, normandy, the kapyong valley, kandahar. string out the hours of the boy from",None,neutral
1164,shenhua. the mirrors. the true circumstances behind zhao sunming's death. do these things mean nothing to so called ,None,neutral
1165,"rt robbynlewis46th yes vancouver bc 50 of all trips are non car. baltimore city same population size, similar geographic footprint, w",None,neutral
1166,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
1167, ogrita i know so many people who are in university and their parents work their ass off to pay for their tuition ,work,positive
1168,children in schools and daycares across canada are exposed to unsafe water national ,unsafe,negative
1169,sounds like canada ,like,positive
1170,rt jaw cee anyone else a first gen college student thats being guilted into staying close to home instead of going to a better universit,better,positive
1171,rt althistoryhub what if we all raid canada and steal their syrup.,steal,negative
1172,rt deesbarbara about time ,None,neutral
1173,rt ericcressey respect ,respect,positive
1174,rt wbrettwilson thoughts on why we are the only country on the globe aka earth that has crippled its energy industry emmmacfarlane a,crippled,negative
1175,rt secpompeo in august realdonaldtrump signed an executive order blocking property amp interests in property of the illegitimate maduro re,None,neutral
1176," barnasjoe jordanlperkins one o the best pieces of advice i got was from my favorite professor. he told me, during ",favorite,positive
1177,rt spencerfernando the sickening thing about canada's collapsing unity is that this country is so easy to keep together. let the west mas,easy,positive
1178,"rt giustrafdn since the late 1970s, private sponsors have welcomed more than 327,000 refugees to canada. read cbcnews' article ""103 peop",None,neutral
1179,rt cravecreative and this ladies amp gentlemen of canada is how a leader protects his country amp its citizens from irreversible harm. ,irreversible,negative
1180,"today in ""these jokes write themselves""",None,neutral
1181,rt eyedropmedia international news finally picking up the story... bbc news jeffrey epstein abc stopped report 'amid palace threats' h,None,neutral
1182,rt gottalovetrey my fam is missing from the atlanta area. shes a student a clark atlanta university retweet and share please ,None,neutral
1183, empanadapeddler lnorbrg enigmaticfeei gaelzote i mean what is canada going to do bring out the war moose ,None,neutral
1184,rt uarkansas have you seen the new street signs for the university the razorback street sign was an idea submitted by students and made,None,neutral
1185,rt spencerfernando epsteincoverup is trending in canada following stunning project veritas report. ,stunning,positive
1186,"rt leavingacademy university of manchester 1,234 doctoral candidates began a phd in the faculty of humanities between january 2015 and d",None,neutral
1187,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
1188,a study by researchers at yale university and ohio state university found that the levels of carbon released due to ,None,neutral
1189, spacetwinks dialacina as diverse as tracer's girlfriend who lives in lore canada,None,neutral
1190,rt vanheathen a proud moment natbynature calgary's natalie neidhart 'overwhelmed with emotion' as she makes wrestling history in saudi,proud,positive
1191,"rt steviej roc ahead of syracuse's game with the defending national champs, here are five storylines for the season ",None,neutral
1192,new photos released.if you have seen her notify authorities. family pleads for clark atlanta students safe return ,safe,positive
1193,the first ever heart men's basketball player of the week in clarke university history. rollpride ,None,neutral
1194,rt canadiangrocer e commerce will become a 64.6 billion business in canada this year. so why are grocers still struggling to make it wor,struggling,negative
1195,me im brittany an entrepreneurship major here at kent state university,None,neutral
1196,rt kongfection hahah so the made a joke about there are 7 ravis ravi1 making songs in the studio basement ravi2 managing the company,joke,negative
1197,rt aaronmcn a brief and uneventful standoff between police and students on the footbridge outside polyu ended with police leaving owan l,uneventful,negative
1198,rt h snolferectus the group behind the political movement known as wexit is applying to become a registered party with elections canada,None,neutral
1199,"rt citussg second semester na, maghunting nasad ta 3 gears are hidden in cit university the first college student to find gear should",None,neutral
1200,rt michaelgrange there are two kinds of canadian basketball fans those who understand and appreciate the legacy of eli pasquale the o,appreciate,positive
1201,rt spring sims the fact that we can take kids on campus with us makes me so happy because nina can show nevaeh where she goes to school.,happy,positive
1202,"rt shankerasingham to clarify this point, the wa applies until the ip is over or an fta is agreed. the fta would clearly have normal disp",clearly,positive
1203,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
1204, ameliaearhrt imagining people going off the grid en masse to run from debt collectors like all the draft dodgers t ,None,neutral
1205,"rt lukaszukab i am a progressive conservative. albertas alberta ucp a d canadas cpc hq are neither progressive, nor conservative. the",progressive,positive
1206,"rt colinkorolppc while the federal government continues to oppose the energy industrys existence, they'll be forced to deal with a unity",None,neutral
1207, realdonaldtrump potus it will be an honor for the state and university of alabama to welcome you to what should b ,welcome,positive
1208,rt ferguscraig video message from father to son who is in his first week at university. ,None,neutral
1209,academia category 1 assiut robotics team assiut robotics assiut university 2 konar wroclaw university of s ,None,neutral
1210,"rt tasyajohari graduated with bachelor of commerce majoring in accounting and finance at university of auckland, new zealand ",None,neutral
1211,rt hqrriet its laughable how much im winging it at university,laughable,negative
1212,best presentation from juniors master of suspense robokid academy best mechanical design and product modeling ,master,positive
1213,best mapping from academia robotics 2 the shield robotics student organization helwan university the most in ,best,positive
1214,rt jkenney former liberal premier frank mckenna gets it. the land locking of canadian energy has created a huge transfer of wealth from,premier,positive
1215,rt knoxnews its almost time for the lady vols season opener here is what gbo fans need to know about ladyvols vs. etsu. ,fans,positive
1216,best team spirit from juniors academia bau ras al balqa applied university most valuable deminer from juniors ac ,valuable,positive
1217, art46807683 from canada,None,neutral
1218,rt claraponsati spanish justice wants my extradition. my crime letting people vote. the spanish supreme court has sentenced my colleague,None,neutral
1219,rt secpompeo in august realdonaldtrump signed an executive order blocking property amp interests in property of the illegitimate maduro re,None,neutral
1220,"rt adamzagoria 6 foot 8 wing pandzavasja of hotchkisshoops and the psacardinals has committed to seattle university, his coach tells",None,neutral
1221,"rt georgiaedemd is the road to depression paved with sugar excellent, important new review article from the university of kansas details",None,neutral
1222, bookdevon oh am from canada,None,neutral
1223,rt welloggb today marks the completion of a project a long time in the making the opening of webster ave. between university ave. and r,None,neutral
1224,rt wbrettwilson its that simple. yet anyone supporting trudeau or the minority puppets hasnt stopped to think and comprehend. rt,None,neutral
1225,rt teachersforyang yangmediashoutout thanks ,None,neutral
1226,"rt bbcscotlandnews ""a referendum is not a crime."" a new european arrest warrant has been issued for clara ponsati, the catalonian politic",None,neutral
1227,"rt mlinstitute the ultimate goal of russian disinformation ""isnt just to influence an election, kolga said, but rather to undermine dem",undermine,negative
1228,rt jamesmelville scientists at manchester university have invented a graphene sieve that turns salt water into drinking water. this cou,None,neutral
1229,rt brettcmajor1 lawrence solomon trudeau stands alone as canada and the world abandons green energy financial post ,None,neutral
1230,rt mpelletiercio 15 tech companies in canada 3 make up 75 of the index compared to 74 in the u.s. ,None,neutral
1231,rt lamphieryeg scheer's climate change plan included using cdn technology to help high emissions countries like india reduce their emissi,like,positive
1232,congratulations keep up the great work ,work,positive
1233," jojofromjerz shimonpro former vice rector of jewish university, close to the kremlin economist, vladislav ginko ",vice,negative
1234,"so, it's not okay to be white sheesh not every white person is a kkk loving racist y'know.",None,neutral
1235,teachers make us great join us every tuesday as we showcase a different member of our faculty this weeks ,great,positive
1236," cnn trump approval rating up 2 points in three new polls nbc wsj poll, the usa today poll amp the monmouth unive ",approval,positive
1237,rt secpompeo in august realdonaldtrump signed an executive order blocking property amp interests in property of the illegitimate maduro re,None,neutral
1238,"rt unuinweh students from unu inweh programmes, mcmaster university student traineeship must programme and water without borders joint",None,neutral
1239, reportbeijing prolelumpen szuandy wengcouver tillingfolk gphantomcrystal charliesmithvcr feedmexlb niubi ,None,neutral
1240,rt spectatorindex best countries to travel alone 1. spain 2. italy 3. nz 5. australia 7. brazil 8. ireland 12. canada 13. mexico 17. fr,best,positive
1241,rt californialabor one way to prevent accidents on the job unions. according to a new stanford university study of underground safety f,None,neutral
1242,rt bbcniallog ex catalan minister claraponsati tells me shes ready for new extradition battle to begin at edinburgh court on thursday ,ready,positive
1243, anitasharma love watching you on marketcall. im your biggest alta fan. speaking of alta my county just took a big ,love,positive
1244,rt southerncrim 3. the american journal of criminal justice is announcing a call for papers for a special issue of the journal research,issue,negative
1245,big weekend for our legends national lax teams our squads will be at the autumn gold showcase at towson universit ,gold,positive
1246,"rt pandzavasja great day for my family and i. thank you yassinetalhaoui , hotchkisshoops , psacardinals amp coach munch for believing in",thank,positive
1247,a 4 day workweek boosted productivity by 40 at microsoft japan. would it work in canada national ,work,positive
1248,rt cblackst first nations have faced a contaminated drinking water crisis for years. we need to ask why it is just an outrage when it aff,outrage,negative
1249, thephdandme worldprofessor teqsagov and and and really exciting news. the disabilityroyalcommission responded ,exciting,positive
1250," read our latest newsflash discover pooven moodley's editorial video about the climateweek, learn about exci ",None,neutral
1251,"oh how fabulous, if the cold doesnt kill me, lead poisoning will some of canada's tap water has lead levels ",kill,negative
1252,rt heyitsmeckb 2012 for me ,None,neutral
1253,"rt michellemanhiu yesterday, a university student chow were seriously injured due to accidental fall from 3 f to 2 f of a carpark. howe",fall,negative
1254,"rt susaniverach behind the scenes, other oil producing countries are surely laughing at canada the post millennial ",None,neutral
1255,new mikalyn mikalynmusic fblive 11 7 19 through scenesmedia 8 8 30pm est interested clic ,None,neutral
1256,"rt teampulte we love cryptocurrency, because blockchain in philanthropy is the future, but we are going to expose crypto scams out there.",None,neutral
1257,the stunning w.t. young library at the university of kentucky ,stunning,positive
1258,rt deacon schiele so its been a year since i tweeted this. i can honestly say that this tweet changed everything. heres a thread of w,None,neutral
1259,"rt haveweallgonem1 the fact is that canada must move beyond words on remembrance day, and start actually giving our veterans the help the",None,neutral
1260, dinitaxox how does a 14 year old end up in university... unless ,None,neutral
1261,rt nationalpost ex snc lavalin executives trial hears of alleged 10 million offer to witness for testimony http,None,neutral
